['Ommegang Witte', '750ml Btl', '7.99', '', '']
['Oskar Blues Dale\xa1\xa6s Pale Ale (12pk-15.99)', '12oz Can', '1.79', '7.99', '31.96']
['Oskar Blues Mamas Ltl. Yella PILS', '12oz Can', '1.79', '7.99', '31.96']
['Oskar Blues Old Chub Scotch Ale (12pk-7.99)', '12oz Can', '1.79', '7.99', '31.96']
['Otter Creek Copper Ale', '12oz Btl', '1.49', '7.99', '31.96']
['Otter Creek Imperial IPA', '22oz Btl', '6.49', '', '']
['Otter Creek Pale Ale', '12oz Btl', '1.49', '7.99', '31.96']
['Peak Organic Fall Summit Ale', '12oz Btl', '1.99', '10.49', '41.96']
['Peak Organic Pomegranate Wheat', '12oz Btl', '1.99', '11.49', '45.96']
['Pike India Pale Ale', '22oz Btl', '4.99', '', '']
['Pike Kilt Lifter Scotch Ale', '22oz Btl', '4.99', '', '']
['Pike Naughty Nellie Golden Ale', '22oz Btl', '4.99', '', '']
['Pike Tandem Double Ale', '22oz Btl', '4.99', '', '']
['Pike XXXXX  Extra Stout', '22oz Btl', '4.99', '', '']
['Pub Dog Amber Dog', '750ml Btl', '4.79', '', '']
['Pub Dog Belgian Red Ale', '500ml Btl', '4.49', '', '']
